project_type,problem_complexity,team_size,expected_duration_months,tech_stack,features_count,external_integrations,ui_ux_complexity,data_handling_required,analytics_required,security_compliance,stakeholders_count,requires_mobile_app,requires_web_portal,existing_system_in_place,geographic_scope,deployment_model,project_priority,risk_factors_count,target_users_count,sprint_count,average_hourly_rate,infrastructure_required,client_industry,third_party_license_cost,project_location,poc_done,hosting_provider,hosting_monthly_cost,hosting_duration_months,team_composition,project_cost_estimate
Travel,Low,13,2,PHP + Laravel,7,All,Moderate,True,True,None,4,True,True,True,Global,Hybrid,High,4,55037,3,300,Basic,Logistics,5000,Tier 2,True,Azure,3000,2,junior-heavy,171513
FinTech,Low,14,7,MERN,17,None,Moderate,False,False,None,8,True,False,True,Global,On-prem,High,4,47450,6,600,None,Finance,5000,Tier 1,True,DigitalOcean,3000,7,balanced,1235311
FinTech,Low,4,3,Java + Spring Boot,16,Payment,Advanced,False,True,Advanced,3,True,True,False,National,On-prem,High,5,73050,3,300,Dedicated,Retail,10000,Tier 1,True,AWS,5000,3,junior-heavy,107468
Retail,High,15,8,Java + Spring Boot,11,SMS,Moderate,False,True,Basic,3,True,False,False,Global,On-prem,Medium,1,18181,6,600,Basic,Finance,0,Tier 1,True,Azure,3000,8,balanced,1502504
Retail,Medium,13,12,PHP + Laravel,13,All,Basic,True,False,Advanced,6,True,False,False,Local,On-prem,Low,5,94379,4,300,Dedicated,Education,0,Rural,True,DigitalOcean,5000,12,junior-heavy,1093856
Healthcare,High,13,11,PHP + Laravel,5,All,Moderate,False,True,None,6,False,True,True,Local,Hybrid,Low,0,95982,5,1000,None,Logistics,5000,Tier 1,True,None,1000,11,senior-heavy,3160626
Retail,High,11,6,MEAN,27,Maps,Moderate,False,False,Advanced,8,True,True,True,Local,On-prem,Low,4,72653,3,300,Dedicated,Education,20000,Tier 1,True,AWS,10000,6,junior-heavy,637150
FinTech,High,6,2,Python + Django,11,All,Basic,False,True,Basic,7,True,True,True,Global,On-prem,Medium,3,53933,5,300,Dedicated,Finance,0,Rural,True,AWS,3000,2,junior-heavy,89942
Retail,Medium,9,7,MEAN,18,Payment,Moderate,False,True,None,8,True,True,True,Local,Cloud,Low,3,63703,5,1000,None,Healthcare,5000,Tier 1,True,None,0,7,senior-heavy,1288950
Travel,High,3,6,Python + Django,9,Payment,Moderate,True,True,Advanced,9,True,False,True,Local,Hybrid,Medium,4,69665,3,600,None,Logistics,10000,Tier 1,True,AWS,5000,6,balanced,282930
Retail,Low,12,12,PHP + Laravel,24,None,Advanced,True,False,Advanced,10,False,False,True,Global,Hybrid,Medium,1,34864,5,300,None,Retail,20000,Tier 2,False,AWS,1000,12,junior-heavy,882150
Healthcare,High,3,11,Java + Spring Boot,9,Maps,Basic,True,False,Basic,3,False,False,True,Global,Hybrid,Medium,5,13627,3,600,Basic,Finance,0,Tier 1,True,DigitalOcean,10000,11,balanced,479748
FinTech,High,7,5,Python + Django,13,None,Basic,False,False,None,1,False,True,False,Local,Hybrid,Medium,4,92543,5,1000,Dedicated,Finance,5000,Tier 1,True,Azure,3000,5,senior-heavy,888749
E-commerce,Medium,11,7,Java + Spring Boot,30,None,Moderate,True,True,Advanced,2,False,False,True,Local,Cloud,Low,3,3298,3,300,Dedicated,Retail,5000,Tier 2,True,DigitalOcean,10000,7,junior-heavy,595980
Healthcare,Low,5,3,Python + Django,16,Maps,Basic,True,True,Advanced,4,False,False,False,Local,On-prem,Medium,5,66818,5,1000,Dedicated,Logistics,0,Tier 2,True,AWS,5000,3,senior-heavy,411735
Education,Medium,7,11,Java + Spring Boot,18,All,Advanced,True,False,Advanced,4,False,True,False,Local,Hybrid,High,5,94347,7,300,Dedicated,Education,0,Tier 2,False,AWS,3000,11,junior-heavy,483486
FinTech,High,13,11,Java + Spring Boot,26,SMS,Moderate,False,False,Advanced,3,True,False,False,Global,Hybrid,Low,4,74643,4,600,Basic,Logistics,0,Tier 1,False,DigitalOcean,3000,11,balanced,2185454
Education,High,6,11,MEAN,21,SMS,Advanced,True,True,Basic,9,False,True,True,Global,On-prem,Low,1,19363,2,600,None,Education,10000,Tier 2,True,None,10000,11,balanced,1026878
Healthcare,Low,9,11,MERN,29,None,Moderate,True,True,Advanced,9,False,True,True,Local,On-prem,Low,3,87550,6,1000,Dedicated,Logistics,20000,Tier 2,False,None,1000,11,senior-heavy,2314481
Healthcare,High,11,4,Java + Spring Boot,29,All,Moderate,True,False,Basic,2,False,True,False,National,On-prem,High,0,18186,3,600,None,Healthcare,20000,Rural,True,Azure,5000,4,balanced,592042
Healthcare,Medium,4,8,Python + Django,29,All,Advanced,True,False,Basic,1,False,False,False,National,Hybrid,High,5,71632,8,600,Dedicated,Education,20000,Tier 2,True,DigitalOcean,3000,8,balanced,474006
Education,High,9,2,MEAN,19,Payment,Advanced,True,False,Advanced,10,True,True,False,Local,On-prem,Low,0,34149,5,600,Basic,Education,10000,Tier 2,False,DigitalOcean,5000,2,balanced,287880
Education,Low,15,6,PHP + Laravel,6,Maps,Basic,True,True,None,4,True,True,True,Local,Cloud,Medium,5,15043,6,600,None,Healthcare,10000,Rural,False,DigitalOcean,5000,6,balanced,1453908
E-commerce,High,5,11,MERN,14,All,Advanced,False,False,Advanced,4,True,True,True,Global,On-prem,High,4,15916,8,1000,Dedicated,Finance,5000,Tier 2,False,DigitalOcean,0,11,senior-heavy,1501604
Education,Low,4,12,Python + Django,16,SMS,Advanced,True,False,None,9,False,False,False,National,Hybrid,High,2,42295,8,1000,None,Finance,0,Tier 2,False,Azure,3000,12,senior-heavy,1299294
Education,Medium,15,11,MEAN,20,Payment,Moderate,False,False,Basic,10,False,True,True,Local,Cloud,High,3,64088,6,600,None,Healthcare,20000,Rural,False,None,10000,11,balanced,2272361
Healthcare,Medium,15,3,PHP + Laravel,16,SMS,Advanced,False,False,Advanced,9,False,False,False,National,On-prem,Medium,1,15864,7,300,None,Retail,5000,Tier 1,True,Azure,3000,3,junior-heavy,314657
Healthcare,Medium,6,9,MEAN,16,Payment,Moderate,True,True,Basic,1,True,False,True,Global,On-prem,Low,0,75293,4,1000,Basic,Healthcare,10000,Tier 2,False,Azure,3000,9,senior-heavy,1521700
E-commerce,High,3,9,MERN,9,Payment,Advanced,False,True,None,2,False,True,False,National,On-prem,Medium,4,56257,4,600,Dedicated,Logistics,0,Tier 1,True,Azure,0,9,balanced,360064
Retail,Low,13,6,MEAN,5,SMS,Moderate,False,False,None,4,False,False,False,Local,Hybrid,Low,2,81977,6,300,Dedicated,Education,5000,Tier 2,True,Azure,0,6,junior-heavy,491702
FinTech,High,13,6,PHP + Laravel,14,SMS,Basic,False,False,Advanced,7,False,False,False,Local,Hybrid,Low,3,96326,4,300,Dedicated,Retail,0,Tier 1,True,Azure,1000,6,junior-heavy,455103
Healthcare,Medium,13,11,PHP + Laravel,25,SMS,Moderate,True,False,Advanced,8,True,False,False,National,On-prem,Medium,5,13760,8,1000,None,Retail,10000,Tier 2,False,DigitalOcean,0,11,senior-heavy,3410054
FinTech,Medium,13,10,MERN,29,SMS,Advanced,True,False,Basic,1,True,False,False,Global,On-prem,Low,1,35053,6,600,None,Retail,20000,Tier 2,False,AWS,0,10,balanced,1536748
E-commerce,High,3,11,Python + Django,7,Payment,Basic,False,True,Advanced,3,False,False,False,National,On-prem,Medium,1,59921,6,1000,None,Healthcare,5000,Tier 1,True,AWS,1000,11,senior-heavy,722930
FinTech,High,7,7,Java + Spring Boot,23,All,Advanced,False,True,Basic,9,False,False,False,Global,Hybrid,Medium,3,42226,8,600,None,Education,10000,Rural,False,Azure,10000,7,balanced,856330
Education,Medium,15,2,MEAN,20,None,Basic,False,True,Basic,2,False,True,True,National,Hybrid,Low,0,61587,8,600,Basic,Retail,20000,Rural,False,AWS,3000,2,balanced,477742
Education,High,8,10,MERN,24,None,Basic,False,True,Advanced,2,False,True,True,National,Cloud,High,2,3844,2,1000,Basic,Finance,10000,Tier 2,False,DigitalOcean,5000,10,senior-heavy,2003309
Healthcare,Low,9,5,MEAN,7,All,Moderate,True,False,Advanced,3,True,False,False,National,On-prem,High,0,61031,4,300,Dedicated,Logistics,20000,Tier 1,True,None,10000,5,junior-heavy,395028
FinTech,Low,8,6,Python + Django,20,None,Basic,False,False,Advanced,5,False,True,False,National,Cloud,High,5,97655,2,1000,Dedicated,Healthcare,10000,Tier 2,True,DigitalOcean,5000,6,senior-heavy,1131876
Travel,High,6,5,MEAN,25,None,Advanced,True,False,Basic,1,False,True,True,National,On-prem,High,3,23071,3,1000,None,Logistics,10000,Tier 2,False,Azure,10000,5,senior-heavy,807196
